标题,参考价,京东价,京东链接,产品图片,产品参数,存储容量,硬盘尺寸,接口类型,缓存,读取速度,写入速度,平均寻道时间,平均无故障时间
佳翼E1000 M.2 2280（240GB）,199,,,https://2f.zol-img.com.cn/product/206_320x240/101/ceODS5NvSubhc.jpg,"存储容量：240GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1650MB/s
写入速度：950MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",240GB,暂无数据,M.2 PCIe接口,暂无数据,1650MB/s,950MB/s,暂无数据,暂无数据
惠普EX900 M.2（120GB）,199,109.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/6245663.html,https://2e.zol-img.com.cn/product/225_320x240/512/celrAVWWEacdA.jpg,"存储容量：120GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1900MB/s
写入速度：650MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",120GB,暂无数据,M.2 PCIe接口,暂无数据,1900MB/s,650MB/s,暂无数据,暂无数据
佰微WooKong（256GB）,199,,,https://2f.zol-img.com.cn/product/205_320x240/699/ceQdljAiew4w.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1700MB/s
写入速度：1200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,1700MB/s,1200MB/s,暂无数据,暂无数据
悉硕S500 512GB,199,193.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10078821024007.html,https://2b.zol-img.com.cn/product/259_320x240/995/ced7mFXNqzPhk.png,"存储容量：512GB
硬盘尺寸：M.2 2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：3000MB/s
写入速度：2000MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",512GB,M.2 2280,M.2 PCIe接口,无缓存,3000MB/s,2000MB/s,暂无数据,150万小时
aigo P2000（256GB）,199,129.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10029445065886.html,https://2e.zol-img.com.cn/product/221_320x240/224/cecQUKPWDs9co.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2000MB/s
写入速度：1600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,2000MB/s,1600MB/s,暂无数据,暂无数据
方正飞天 M.2（120GB）,199,699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=http://item.jd.com/68491799847.html,https://2b.zol-img.com.cn/product/206_320x240/181/ce27KBZmyjDqs.jpg,"存储容量：120GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1500MB/s
写入速度：1000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",120GB,暂无数据,M.2 PCIe接口,暂无数据,1500MB/s,1000MB/s,暂无数据,暂无数据
金百达KM240（240GB）,199,,,https://2d.zol-img.com.cn/product/198_320x240/605/ceHeb2ewTiJn.jpg,"存储容量：240GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：暂无数据
写入速度：暂无数据
平均寻道时间：暂无数据
平均无故障时间：暂无数据",240GB,暂无数据,M.2 PCIe接口,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
Colorful CF500 镭风（480GB）,199,165.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100027776965.html,https://2d.zol-img.com.cn/product/222_320x240/639/ce61f6mLKudsc.jpg,"存储容量：480GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：500MB/s
写入速度：450MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",480GB,暂无数据,M.2 PCIe接口,暂无数据,500MB/s,450MB/s,暂无数据,暂无数据
景讯欣SU3D S系列（256GB）,199,,,https://2d.zol-img.com.cn/product/270_320x240/1/cezntw2Qu8Y2.png,"存储容量：256GB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2500MB/s
写入速度：950MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,2280,M.2 PCIe接口,暂无数据,2500MB/s,950MB/s,暂无数据,暂无数据
雷克沙NM500 M.2（128GB）,199,,,https://2f.zol-img.com.cn/product/196_320x240/253/ceuUUktDGICmU.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1650MB/s
写入速度：1000MB/s
平均寻道时间：0.5ms
平均无故障时间：150万小时",128GB,暂无数据,M.2 PCIe接口,暂无数据,1650MB/s,1000MB/s,0.5ms,150万小时
海康威视C1000 M.2 （128GB）,199,,,https://2e.zol-img.com.cn/product/196_320x240/124/celRQbKGcjqHI.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口（PCIe Gen 3.0*2，NVMe....>>
缓存：暂无数据
读取速度：1550MB/s
写入速度：550MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",128GB,暂无数据,M.2 PCIe接口（PCIe Gen 3.0*2，NVMe....>>,暂无数据,1550MB/s,550MB/s,暂无数据,150万小时
台迅M.2 PCI-E（120GB）,199,,,https://2f.zol-img.com.cn/product/200_320x240/291/ceClqZSKhMjMQ.jpg,"存储容量：120GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：暂无数据
写入速度：暂无数据
平均寻道时间：0.15ms
平均无故障时间：暂无数据",120GB,暂无数据,M.2 PCIe接口,暂无数据,暂无数据,暂无数据,0.15ms,暂无数据
朗科绝影N930E（120GB）,199,,,https://2e.zol-img.com.cn/product/196_320x240/714/cejUSJ9y8T5BA.jpg,"存储容量：120GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：暂无数据
写入速度：暂无数据
平均无故障时间：150万小时
平均寻道时间：暂无数据",120GB,暂无数据,M.2 PCIe接口,暂无数据,暂无数据,暂无数据,暂无数据,150万小时
幻隐HV2000 NVMe PCIe（512GB）,199,269.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10059533132025.html,https://2e.zol-img.com.cn/product/225_320x240/624/cekTyVeSRlGB.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2100MB/s
写入速度：1600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,2100MB/s,1600MB/s,暂无数据,暂无数据
方正飞天 M.2（256GB）,199,,,https://2f.zol-img.com.cn/product/208_320x240/611/cexHVqfQpEEh.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1500MB/s
写入速度：1000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,1500MB/s,1000MB/s,暂无数据,暂无数据
移速美洲豹 M.2 NVMe（256GB）,199,,,https://2f.zol-img.com.cn/product/225_320x240/799/cellKnuS7d8Pc.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：256MB
读取速度：2800MB/s
写入速度：1000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,256MB,2800MB/s,1000MB/s,暂无数据,暂无数据
忆捷S450 PCIE（128GB）,199,,,https://2f.zol-img.com.cn/product/196_320x240/509/cez4Cm3NZtkI.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1880MB/s
写入速度：1200MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,1880MB/s,1200MB/s,暂无数据,150万小时
亿储M.2（120GB）,208,,,https://2a.zol-img.com.cn/product/197_320x240/590/cep6NSFHV6n9s.jpg,"存储容量：120GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1100MB/s
写入速度：550MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",120GB,暂无数据,M.2 PCIe接口,暂无数据,1100MB/s,550MB/s,暂无数据,暂无数据
Goldendisk GWOP-128TS PCIE（128GB）,208,,,https://2e.zol-img.com.cn/product/211_320x240/438/ceazu4YSiRc2c.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：2100MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,2100MB/s,暂无数据,暂无数据
忆捷S900L M2-PCIE（128GB）,208,,,https://2e.zol-img.com.cn/product/196_320x240/568/cereC53XPn2sM.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3000MB/s
写入速度：2000MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,3000MB/s,2000MB/s,暂无数据,150万小时
佳翼E1000 M.2 2280（256GB）,209,,,https://2e.zol-img.com.cn/product/206_320x240/130/ceOjuw5SyM5hg.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1650MB/s
写入速度：950MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,1650MB/s,950MB/s,暂无数据,暂无数据
腾隐TP3000 512GB,209,275.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10072032089223.html,https://2c.zol-img.com.cn/product/259_320x240/468/cebpc32hvCMB6.jpg,"存储容量：512GB
硬盘尺寸：长22mm；宽2.15mm；高80mm
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：3600MB/s
写入速度：3200MB/s
平均无故障时间：320万小时
平均寻道时间：暂无数据",512GB,长22mm；宽2.15mm；高80mm,M.2 PCIe接口,无缓存,3600MB/s,3200MB/s,暂无数据,320万小时
联想拯救者 SL700 M.2 NVMe（128GB）,209,119.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/41215956556.html,https://2a.zol-img.com.cn/product/198_320x240/232/ce5TI98vccbXA.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1500MB/s
写入速度：600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,1500MB/s,600MB/s,暂无数据,暂无数据
铨兴N200（256GB）,209,119.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10052002840623.html,https://2b.zol-img.com.cn/product/222_320x240/769/cev3Dq2zAXeo.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2000MB/s
写入速度：1000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,2000MB/s,1000MB/s,暂无数据,暂无数据
KOOTION X15（512GB）,209,195.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10067532832679.html,https://2e.zol-img.com.cn/product/230_320x240/26/ceRRtm3NiiAQ.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2100MB/s
写入速度：1600MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,2100MB/s,1600MB/s,暂无数据,150万小时
梵想S501（256GB）,209,,,https://2c.zol-img.com.cn/product/201_320x240/26/cevzyKCbe7b9g.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：≤2150MB/s
写入速度：≤1600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,≤2150MB/s,≤1600MB/s,暂无数据,暂无数据
联想ThinkLife ST9000 M.2（128GB）,209,,,https://2f.zol-img.com.cn/product/225_320x240/195/cerBt7UpCc0o.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1240MB/s
写入速度：550MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,1240MB/s,550MB/s,暂无数据,暂无数据
幻隐HV2000 GR（512GB）,209,229.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10089438529342.html,https://2c.zol-img.com.cn/product/271_320x240/948/cebidImfQPd.png,"存储容量：512GB
硬盘尺寸：M2.2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：3000MB/s
写入速度：3000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,M2.2280,M.2 PCIe接口,无缓存,3000MB/s,3000MB/s,暂无数据,暂无数据
闪迪M.2 加强版(250GB),209,239.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100070894060.html,https://2e.zol-img.com.cn/product/256_320x240/850/cewt7TeDtxY.jpg,"存储容量：250GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2400MB/s
写入速度：1500MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",250GB,暂无数据,M.2 PCIe接口,无缓存,2400MB/s,1500MB/s,暂无数据,暂无数据
储尊CN501 M.2 NVMe（256GB）,209,,,https://2c.zol-img.com.cn/product/225_320x240/952/ceDDeuDmPjFDs.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2100MB/s
写入速度：1000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,2100MB/s,1000MB/s,暂无数据,暂无数据
亿储J20-512GB,209,219.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10070887798271.html,https://2f.zol-img.com.cn/product/271_320x240/917/cePvgCKDVfnMI.jpg,"存储容量：512GB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：1800MB/s
写入速度：1400MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,2280,M.2 PCIe接口,无缓存,1800MB/s,1400MB/s,暂无数据,暂无数据
金杉NGFF-512GB,213,213.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10091138128385.html,https://2e.zol-img.com.cn/product/271_320x240/60/ce2qHd4ZDYz8k.png,"存储容量：512GB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：470MB/s
写入速度：530MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,2280,M.2 PCIe接口,无缓存,470MB/s,530MB/s,暂无数据,暂无数据
储侠CP20 512GB,218,226.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10066259616134.html,https://2c.zol-img.com.cn/product/258_320x240/224/ceUqEgmRA76Z2.jpg,"存储容量：512GB
硬盘尺寸：长80mm；宽22mm
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2000-3500mb/s
写入速度：1500-3500mb/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,长80mm；宽22mm,M.2 PCIe接口,暂无数据,2000-3500mb/s,1500-3500mb/s,暂无数据,暂无数据
悉硕XS990（128GB）,218,,,https://2a.zol-img.com.cn/product/209_320x240/962/cex4MekGQBx06.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3000MB/s
写入速度：1600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,3000MB/s,1600MB/s,暂无数据,暂无数据
金泰克速虎 DP2500（256GB）,219,,,https://2e.zol-img.com.cn/product/225_320x240/522/ceFesvhxOj7CY.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2500MB/s
写入速度：1100MB/s
平均无故障时间：120万小时
平均寻道时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,2500MB/s,1100MB/s,暂无数据,120万小时
东芝RC100 M.2 2242（120GB）,219,,,https://2c.zol-img.com.cn/product/188_320x240/372/ce3RHHT3D8iTs.jpg,"存储容量：120GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1350MB/s
写入速度：700MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",120GB,暂无数据,M.2 PCIe接口,暂无数据,1350MB/s,700MB/s,暂无数据,暂无数据
酷兽M.2 PCI-E3.0x4（240GB）,219,108.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/67312233517.html,https://2f.zol-img.com.cn/product/225_320x240/781/cefASsZdosniA.jpg,"存储容量：240GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1600MB/s
写入速度：1150MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",240GB,暂无数据,M.2 PCIe接口,暂无数据,1600MB/s,1150MB/s,暂无数据,暂无数据
挚科A300（256GB）,219,,,https://2a.zol-img.com.cn/product/201_320x240/988/ceBIESQ5GpCc.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：暂无数据
写入速度：暂无数据
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
固德佳NVMe 2280 M.2（256G）,219,,,https://2a.zol-img.com.cn/product/225_320x240/72/cezOJzI3JSNUo.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1500MB/s
写入速度：1200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,1500MB/s,1200MB/s,暂无数据,暂无数据
铭瑄 电竞之心 M.2（512GB）,219,209.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100084119701.html,https://2e.zol-img.com.cn/product/226_320x240/18/ceiEtGiok0EVA.png,"存储容量：512GB
硬盘尺寸：1.8英寸
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：2700MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,1.8英寸,M.2 PCIe接口,暂无数据,3500MB/s,2700MB/s,暂无数据,暂无数据
佳翼E2000（128GB）,219,,,https://2f.zol-img.com.cn/product/210_320x240/25/celx0alkiOrU.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1800MB/s
写入速度：600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,1800MB/s,600MB/s,暂无数据,暂无数据
长城GW5000（512GB）,219,269.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10116342486035.html,https://2a.zol-img.com.cn/product/271_320x240/536/cewBF8DY1DzN6.png,"存储容量：512GB
硬盘尺寸：2280
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：4200MB/s
写入速度：4000MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",512GB,2280,M.2 PCIe接口,无缓存,4200MB/s,4000MB/s,暂无数据,150万小时
方正N600（256GB）,219,,,https://2a.zol-img.com.cn/product/225_320x240/136/ce83tGUr9DGA.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2000MB/s
写入速度：1000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,2000MB/s,1000MB/s,暂无数据,暂无数据
奥睿科e3500（512GB）,219,219.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10124900497891.html,https://2e.zol-img.com.cn/product/271_320x240/574/ceV8mYL9saXU.jpg,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2800MB/s
写入速度：1300MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,无缓存,2800MB/s,1300MB/s,暂无数据,暂无数据
京东京造麒麟 NVMe M.2（256GB）,219,,,https://2c.zol-img.com.cn/product/219_320x240/568/ceX3nrwni7dF2.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：1300MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,1300MB/s,暂无数据,暂无数据
幻存V2400（512GB）,219,219.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10121015180060.html,https://2b.zol-img.com.cn/product/271_320x240/527/cedYvClGFXYUs.png,"存储容量：512GB
硬盘尺寸：2242
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：2400MB/s
写入速度：1600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,2242,M.2 PCIe接口,无缓存,2400MB/s,1600MB/s,暂无数据,暂无数据
朗科绝影NV3000（250GB ）,219,129.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100036032566.html,https://2b.zol-img.com.cn/product/225_320x240/381/ceANzihrF0OXI.png,"存储容量：250GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3100MB/s
写入速度：1300MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",250GB,暂无数据,M.2 PCIe接口,暂无数据,3100MB/s,1300MB/s,暂无数据,150万小时
矽统 E324（128GB）,219,,,https://2b.zol-img.com.cn/product/200_320x240/333/ceO806KWQDvYU.jpg,"存储容量：128GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1600MB/s
写入速度：1200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",128GB,暂无数据,M.2 PCIe接口,暂无数据,1600MB/s,1200MB/s,暂无数据,暂无数据
台电疾霆 NP300（512GB）,225,,,https://2e.zol-img.com.cn/product/227_320x240/870/ceRh6b1y24Edw.png,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3500MB/s
写入速度：2700MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,3500MB/s,2700MB/s,暂无数据,暂无数据
方正飞天 M.2（240GB）,228,,,https://2e.zol-img.com.cn/product/206_320x240/202/ceu3yKQsRcu3w.jpg,"存储容量：240GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1500MB/s
写入速度：1000MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",240GB,暂无数据,M.2 PCIe接口,暂无数据,1500MB/s,1000MB/s,暂无数据,暂无数据
金速KF002（256GB）,229,,,https://2a.zol-img.com.cn/product/202_320x240/622/cejHaz3YL8ebE.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1600MB/s
写入速度：1200MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,1600MB/s,1200MB/s,暂无数据,暂无数据
朗科绝影NV2000（256GB）,229,,,https://2a.zol-img.com.cn/product/214_320x240/194/ceS7IeNfUiIdY.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：2500MB/s
写入速度：1000MB/s
平均无故障时间：200万小时
平均寻道时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,2500MB/s,1000MB/s,暂无数据,200万小时
金泰克P600（128GB）,229,,,https://2c.zol-img.com.cn/product/184_320x240/166/ceCKOhzKgVFR6.jpg,"存储容量：128GB
硬盘尺寸：80×22×3.65mm
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：600MB/s
写入速度：300MB/s
平均无故障时间：大于100万小时
平均寻道时间：暂无数据",128GB,80×22×3.65mm,M.2 PCIe接口,暂无数据,600MB/s,300MB/s,暂无数据,大于100万小时
阿斯加特Lite 512GB,229,,,https://2a.zol-img.com.cn/product/246_320x240/716/cenQhr9qq7x6s.png,"存储容量：512GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：5000MB/s
写入速度：2500MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",512GB,暂无数据,M.2 PCIe接口,暂无数据,5000MB/s,2500MB/s,暂无数据,150万小时
先锋APS-SE10N 2280（240GB）,229,,,https://2a.zol-img.com.cn/product/196_320x240/416/cezn20tzX4gNY.jpg,"存储容量：240GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1600MB/s
写入速度：900MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",240GB,暂无数据,M.2 PCIe接口,暂无数据,1600MB/s,900MB/s,暂无数据,暂无数据
映泰M700（256GB）,229,,,https://2f.zol-img.com.cn/product/225_320x240/601/ceamrwv30OHY.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：无缓存
读取速度：1850MB/s
写入速度：950MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,无缓存,1850MB/s,950MB/s,暂无数据,暂无数据
Team MP33（256GB）,229,,,https://2a.zol-img.com.cn/product/225_320x240/794/ceQw91MTGg3qg.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：1600MB/s
写入速度：1000MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,1600MB/s,1000MB/s,暂无数据,150万小时
海康威视C160N M.2（256GB）,229,,,https://2b.zol-img.com.cn/product/196_320x240/603/cevHOR17izu.jpg,"存储容量：256GB
硬盘尺寸：暂无数据
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：530MB/s
写入速度：450MB/s
平均无故障时间：150万小时
平均寻道时间：暂无数据",256GB,暂无数据,M.2 PCIe接口,暂无数据,530MB/s,450MB/s,暂无数据,150万小时
金邦P3P 512GB,229,219.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100054839187.html,https://2b.zol-img.com.cn/product/259_320x240/367/ceLYHB1bNH2vA.png,"存储容量：512GB
硬盘尺寸：M.2 2280
接口类型：M.2 PCIe接口
缓存：暂无数据
读取速度：3400MB/s
写入速度：2600MB/s
平均寻道时间：暂无数据
平均无故障时间：暂无数据",512GB,M.2 2280,M.2 PCIe接口,暂无数据,3400MB/s,2600MB/s,暂无数据,暂无数据
