标题,参考价,京东价,京东链接,产品图片,产品参数,适用类型,内存容量,内存类型,内存主频
棘蛇8GB DDR3 1600（台式机）,185,,,https://2d.zol-img.com.cn/product/226_320x240/311/ce9HZZWcz1XaU.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
光威天策 16GB（2×8GB）DDR4 3600,509,189.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100022887992.html,https://2b.zol-img.com.cn/product/215_320x240/405/cefbryB6QQm.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
玖合星舞 16GB（2×8GB）DDR4 3600,299,199.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100059119430.html,https://2b.zol-img.com.cn/product/250_320x240/781/ceXnq2iFondgE.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
威刚8GB DDR3L 1600,309,159.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/752948.html,https://2b.zol-img.com.cn/product/111_320x240/763/cenSsfGPPcTWs.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",笔记本,暂无数据,DDR3,1600MHz
铨兴4GB DDR4 2666（笔记本）,109,59.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10028582597429.html,https://2f.zol-img.com.cn/product/215_320x240/645/ceEn9dHKTJoPc.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
三星8GB DDR3L 1600（笔记本）,379,,,https://2f.zol-img.com.cn/product/192_320x240/493/ceN2SDUSov7LM.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3L
内存主频：1600MHz",笔记本,暂无数据,DDR3L,1600MHz
英睿达16GB DDR5 5200 笔记本内存条,299,,,https://2a.zol-img.com.cn/product/242_320x240/202/ceHt3wXcLmLOA.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5200MHz",台式机,暂无数据,DDR5,5200MHz
七彩虹8GB DDR4 2666（台式机）,199,72.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100031218382.html,https://2d.zol-img.com.cn/product/226_320x240/289/ceoNvfcyFHbBU.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
朗科绝影RGB 32GB DDR5 4800,1999,899.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100035262530.html,https://2b.zol-img.com.cn/product/218_320x240/5/ce1Lfz39CXZc.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",台式机,暂无数据,DDR5,4800MHz
光威弈Pro 8GB DDR4 3000马甲条,250,,,https://2a.zol-img.com.cn/product/208_320x240/678/ceBSKQJqmZ5k.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
三星8GB DDR4 2133（笔记本）,259,,,https://2d.zol-img.com.cn/product/192_320x240/181/ceJduASVICB0U.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2133MHz",笔记本,暂无数据,DDR4,2133MHz
金士顿骇客神条Impact 8GB DDR3 1600,409,,,https://2d.zol-img.com.cn/product/167_320x240/579/cemp77A7II6.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",笔记本,暂无数据,DDR3,1600MHz
英睿达镁光8GB DDR4 2400,239,88.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/70992098079.html,https://2f.zol-img.com.cn/product/187_320x240/901/ceg0iowYQRzXA.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
棘蛇8GB DDR4 2666（台式机）,179,,,https://2d.zol-img.com.cn/product/226_320x240/829/ce0W1ovDvyX8M.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
联想8GB DDR3L 1600,239,69.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233716.html,https://2e.zol-img.com.cn/product/197_320x240/296/cez16Qpj64I8w.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3L
内存主频：1600MHz",台式机,暂无数据,DDR3L,1600MHz
威刚XPG Z1 8GB DDR4 3000,319,,,https://2d.zol-img.com.cn/product/183_320x240/965/ceSQon93ByCM2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
金士顿HyperX Savage 8GB DDR4 2400（HX424C12SB/8）,235,238.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/30199741605.html,https://2c.zol-img.com.cn/product/222_320x240/172/ce4lrIYJdheY.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
台电极光系列 A40 8GB DDR4 2666,249,,,https://2f.zol-img.com.cn/product/226_320x240/689/ce3hePbUXC30M.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
玖合星辰 4GB DDR4 2400,129,,,https://2a.zol-img.com.cn/product/199_320x240/24/ceSjaZkE57Xf2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
联想4GB DDR3L 1600,109,49.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233796.html,https://2e.zol-img.com.cn/product/197_320x240/290/ceZgnKDK3WCg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3L
内存主频：1600MHz",台式机,暂无数据,DDR3L,1600MHz
影驰HOF PRO RGB 16GB（2×8GB） DDR4 3600,899,,,https://2e.zol-img.com.cn/product/215_320x240/582/cegzwaoM9UBXs.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
联想16GB DDR4 2666,489,165.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233710.html,https://2d.zol-img.com.cn/product/197_320x240/771/cePWF673bWuSM.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
阿斯加特女武神·瓦尔基里 2×8GB DDR4 3600,419,259.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100025375224.html,https://2e.zol-img.com.cn/product/222_320x240/444/ceTYjiI56LpH2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
威刚XPG 龙耀D60G DDR4 16GB（2×8GB）3200,709,,,https://2b.zol-img.com.cn/product/226_320x240/933/ceGJZjhuQ8xEg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
铭瑄 终结者Q3 8GB DDR4 2666,249,,,https://2e.zol-img.com.cn/product/192_320x240/534/cecLzFqREigow.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
Acer宏碁 Vesta II 炫光星舰 DDR5 6800 C32 32GB(16GB×2),1049,999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100049474073.html,https://2a.zol-img.com.cn/product/259_320x240/654/cemkE6wYK032E.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
联想4GB DDR4 2400（笔记本）,129,69.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233680.html,https://2e.zol-img.com.cn/product/197_320x240/278/ceFDYXubEjZWE.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2444MHz",笔记本,暂无数据,DDR4,2444MHz
玖合忆界 8GB DDR4 2666,179,83.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100027240362.html,https://2e.zol-img.com.cn/product/216_320x240/790/cehV5uxqHyLtw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
Acer宏碁 Pallas II 凌霜系列 DDR5 6600 C34 32GB(16GB×2),749,799.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100067092040.html,https://2e.zol-img.com.cn/product/259_320x240/766/cegcRtY7JiZys.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6600MHz",台式机,暂无数据,DDR5,6600MHz
金百达4GB DDR3L 1600,105,45.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/7035978.html,https://2b.zol-img.com.cn/product/195_320x240/855/cepL9iQ7x4y2s.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3L
内存主频：1600MHz",台式机,暂无数据,DDR3L,1600MHz
芝奇Ripjaws 16GB DDR4 3200,479,359.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100008129801.html,https://2f.zol-img.com.cn/product/226_320x240/693/cesOnVTvxBtg6.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
光威TYPE-a 8GB DDR4 2666,399,,,https://2a.zol-img.com.cn/product/193_320x240/78/ce45MtYdtgTso.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
光威弈Pro 8GB DDR4 3000,240,,,https://2c.zol-img.com.cn/product/205_320x240/406/ceaFFCG3Pq3aA.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
金泰克X3烈焰风暴 8GB DDR4 2666,252,,,https://2a.zol-img.com.cn/product/226_320x240/532/ceqtKEYrkWzg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
美商海盗船复仇者 16GB DDR5 6000,479,379.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100048934201.html,https://2c.zol-img.com.cn/product/229_320x240/428/ceCLq0Z7giPk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
阿斯加特洛极T2 DDR4 2666 32GB,699,,,https://2b.zol-img.com.cn/product/200_320x240/319/ce1AGeyTnYVvw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
Acer宏碁 Hermes冰刃系列 32G(16G×2) DDR5 6800 C32,1299,999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100052092838.html,https://2b.zol-img.com.cn/product/256_320x240/23/ce0cSDBlE1N46.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
Acer 掠夺者 Apollo 16GB（2×8GB）DDR4 3200,799,,,https://2a.zol-img.com.cn/product/212_320x240/664/cedEK1zFvIYw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
金百达黑爵 16GB DDR4 2666,399,145.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100001944883.html,https://2c.zol-img.com.cn/product/226_320x240/518/ceBvS1cO1I9Uk.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
光威天策S系列 DDR5 4800 笔记本 16GB,249,,,https://2b.zol-img.com.cn/product/259_320x240/545/ceEHhDQLxiDck.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",笔记本,暂无数据,DDR5,4800MHz
光威天策S系列 DDR5 4800 笔记本 32GB,599,479.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100051086211.html,https://2d.zol-img.com.cn/product/259_320x240/529/ceQtOOdTVmilg.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",笔记本,暂无数据,DDR5,4800MHz
玖合星舞 16GB（2×8GB）DDR4 3200,239,195.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100059119434.html,https://2f.zol-img.com.cn/product/250_320x240/785/ceD5hqSbErjA.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
阿斯加特笔记本内存条 8GB DDR4 2666,269,,,https://2f.zol-img.com.cn/product/212_320x240/97/ceuyuAJ8Mmwq.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
先锋4GB DDR4 2666 笔记本内存条,39,,,https://2d.zol-img.com.cn/product/256_320x240/65/ceQSbynthC05c.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
英睿达铂胜游戏 8GB DDR4 2666,279,,,https://2d.zol-img.com.cn/product/213_320x240/983/ceFhCuiqAyfM.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
光威神策RGB系列 DDR5 6400 32GB(16GB×2) 海力士A-die,849,879.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100054700416.html,https://2d.zol-img.com.cn/product/259_320x240/973/ce025eYSAsiCw.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
光威神策RGB系列 DDR5 6400 48GB(24GB×2) 海力士A-die,1299,,,https://2d.zol-img.com.cn/product/259_320x240/973/ce025eYSAsiCw.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
联想16GB DDR4 2400（笔记本）,579,179.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233698.html,https://2b.zol-img.com.cn/product/197_320x240/263/ceVP7UTQF3Pd2.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2444MHz",笔记本,暂无数据,DDR4,2444MHz
棘蛇16GB DDR4 2666（笔记本）,349,,,https://2e.zol-img.com.cn/product/226_320x240/214/cepAAkvggEJbc.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
芝奇Ripjaws（F4-2800C16D-8GRR）,459,,,https://2e.zol-img.com.cn/product/164_320x240/878/cei7ZGFjRg.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2800MHz",台式机,暂无数据,DDR4,2800MHz
光威战将 16GB DDR4 2666,425,,,https://2d.zol-img.com.cn/product/198_320x240/101/ceYLOh56d9cE.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
金士顿骇客神条FURY 16GB DDR4 3600 RGB（HX436C17FB3A/16）,630,369.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100011529698.html,https://2b.zol-img.com.cn/product/206_320x240/597/cekg12ca0DsSw.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3600MHz",台式机,暂无数据,DDR4,3600MHz
金百达8GB DDR4 3200（笔记本）,179,79.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100007630885.html,https://2c.zol-img.com.cn/product/226_320x240/558/ce99LpJQKOpjM.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
Acer宏碁 Hera 影锋 DDR5 6400 32GB(16GB×2),869,999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100114195729.html,https://2a.zol-img.com.cn/product/269_320x240/816/ceQv87SKHN8gU.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
Acer宏碁 Hera 影锋 DDR5 6400 64GB(32GB×2),1649,1699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100135771280.html,https://2a.zol-img.com.cn/product/269_320x240/816/ceQv87SKHN8gU.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
酷兽8GB DDR3 1600台式机内存条,179,,,https://2c.zol-img.com.cn/product/170_320x240/672/ce8A1GMv7Wjt6.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR3
内存主频：1600MHz",台式机,暂无数据,DDR3,1600MHz
美商海盗船复仇者LPX 16GB DDR4 2666,399,,,https://2f.zol-img.com.cn/product/222_320x240/779/cedqM9jRsu4PI.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
阿斯加特金伦加&TUF联名款 DDR5 6400 32GB（2×16GB）,698,789.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100059054455.html,https://2d.zol-img.com.cn/product/259_320x240/305/ceoPL2vK0txp2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
阿斯加特金伦加&TUF联名款 DDR5 6400 64GB（2×32GB）,1459,1550.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100061167328.html,https://2d.zol-img.com.cn/product/259_320x240/305/ceoPL2vK0txp2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
阿斯加特金伦加&TUF联名款 RGB DDR5 6400 32GB（2×16GB）,809,809.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100058440044.html,https://2a.zol-img.com.cn/product/259_320x240/302/cegsATEnSdQ.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
阿斯加特金伦加&TUF联名款 RGB DDR5 6400 32GB（2×16GB）,1499,1660.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100059483574.html,https://2a.zol-img.com.cn/product/259_320x240/302/cegsATEnSdQ.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
阿斯加特金伦加&TUF联名款 DDR5 6800 32GB（2×16GB）,759,799.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100070610172.html,https://2d.zol-img.com.cn/product/259_320x240/305/ceoPL2vK0txp2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
阿斯加特金伦加&TUF联名款 RGB DDR5 6800 32GB（2×16GB）,829,934.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100073530756.html,https://2a.zol-img.com.cn/product/259_320x240/302/cegsATEnSdQ.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6800MHz",台式机,暂无数据,DDR5,6800MHz
阿斯加特金伦加&TUF联名款 DDR5 7000 32GB（2×16GB）,769,,,https://2d.zol-img.com.cn/product/259_320x240/305/ceoPL2vK0txp2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7000MHz",台式机,暂无数据,DDR5,7000MHz
阿斯加特金伦加&TUF联名款 DDR5 7200 32GB（2×16GB）,959,,,https://2d.zol-img.com.cn/product/259_320x240/305/ceoPL2vK0txp2.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：7200MHz",台式机,暂无数据,DDR5,7200MHz
金胜维4GB DDR3L 1600（笔记本）,109,39.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/28487147439.html,https://2c.zol-img.com.cn/product/211_320x240/432/ceMVoRB1lrgk.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR3L
内存主频：1600MHz",笔记本,暂无数据,DDR3L,1600MHz
七彩虹8GB DDR4 3200 8GB,105,89.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100029704007.html,https://2b.zol-img.com.cn/product/238_320x240/611/cevtkHmq7Rng.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
阿斯加特金伦加 TUF联名款 8GB DDR4 3200,209,,,https://2f.zol-img.com.cn/product/222_320x240/67/ceQJ2V5va5S8c.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",台式机,暂无数据,DDR4,3200MHz
金百达笔记本内存条 DDR5 5600 16GB,289,259.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100097719648.html,https://2f.zol-img.com.cn/product/259_320x240/21/ceFIqtHWv5Q.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
金百达笔记本内存条 DDR5 5600 16GB 三星B-die,339,,,https://2b.zol-img.com.cn/product/259_320x240/41/celLbbFmb1BPY.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：5600MHz",笔记本,暂无数据,DDR5,5600MHz
联想4GB DDR4 2666（笔记本）,129,69.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100003233706.html,https://2c.zol-img.com.cn/product/197_320x240/240/cebYf1kTz0RVg.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",笔记本,暂无数据,DDR4,2666MHz
光威天策系列 DDR5 4800 16GB,249,229.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100042361173.html,https://2d.zol-img.com.cn/product/259_320x240/19/ce7Yk84n45ook.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",台式机,暂无数据,DDR5,4800MHz
光威天策系列 DDR5 4800  32GB(16GB×2),498,,,https://2b.zol-img.com.cn/product/259_320x240/23/ceI6LR7hbI.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",台式机,暂无数据,DDR5,4800MHz
金百达8GB DDR4 2400,219,,,https://2f.zol-img.com.cn/product/195_320x240/757/ce7540S7zKgeQ.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2400MHz",台式机,暂无数据,DDR4,2400MHz
科赋8GB DDR4 3200（笔记本）,279,,,https://2c.zol-img.com.cn/product/206_320x240/202/ceFy79Pwk5J4k.jpg,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR4
内存主频：3200MHz",笔记本,暂无数据,DDR4,3200MHz
金百达笔记本内存条 DDR5 4800 16GB,269,239.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100035834995.html,https://2b.zol-img.com.cn/product/259_320x240/17/ceTgXnFoC8KI.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",笔记本,暂无数据,DDR5,4800MHz
金百达笔记本内存条 DDR5 4800 32GB,559,479.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100047815767.html,https://2f.zol-img.com.cn/product/259_320x240/997/cexiR8Mo2Oe9Y.png,"适用类型：笔记本
内存容量：暂无数据
内存类型：DDR5
内存主频：4800MHz",笔记本,暂无数据,DDR5,4800MHz
Acer宏碁 Hera 影锋 DDR5 8000 32GB（2×16GB）,869,999.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100120685529.html,https://2b.zol-img.com.cn/product/270_320x240/49/ceHmELzPFPQo.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：8000MHz",台式机,暂无数据,DDR5,8000MHz
威刚威龙LANCER 32GB(16GX2) DDR5 6000,1644,839.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/10065782492334.html,https://2e.zol-img.com.cn/product/222_320x240/268/ceZ6Kr9ez9wG2.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6000MHz",台式机,暂无数据,DDR5,6000MHz
美商海盗船复仇者 16GB DDR5 5200,459,349.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100025489283.html,https://2c.zol-img.com.cn/product/229_320x240/732/cenXGzKe8izU.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：5200MHz",台式机,暂无数据,DDR5,5200MHz
光威神策RGB系列 DDR5 6400 32GB(16GB×2) 海力士A-die,789,949.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100061546889.html,https://2e.zol-img.com.cn/product/259_320x240/278/ce8fGR9fpVwgk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
光威神策RGB系列 DDR5 6400 64GB(32GB×2) 海力士A-die,1499,1699.0,https://union-click.jd.com/sem.php?unionId=281&siteid=20170818001&to=https://item.jd.com/100058028952.html,https://2e.zol-img.com.cn/product/259_320x240/278/ce8fGR9fpVwgk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
光威神策RGB系列 DDR5 6400 96GB(48GB×2) 海力士M-die,2699,,,https://2e.zol-img.com.cn/product/259_320x240/278/ce8fGR9fpVwgk.png,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR5
内存主频：6400MHz",台式机,暂无数据,DDR5,6400MHz
棘蛇8GB DDR4 3000（台式机）,189,,,https://2c.zol-img.com.cn/product/226_320x240/894/ceOGbo7cJfhNQ.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：3000MHz",台式机,暂无数据,DDR4,3000MHz
AIRDISK 8GB DDR4 2666（台式机）,189,,,https://2d.zol-img.com.cn/product/216_320x240/611/ceQVUHtlJp9os.jpg,"适用类型：台式机
内存容量：暂无数据
内存类型：DDR4
内存主频：2666MHz",台式机,暂无数据,DDR4,2666MHz
