标题,参考价,京东价
七彩虹战斧 16GB DDR4 3200 新马甲条,499,149
影驰星曜 16GB DDR4 3200,579,149
科赋8GB DDR4 3200,285,
联想32GB DDR4 3200（笔记本）,1049,359
联想16GB DDR4 2666（游戏内存条）,459,
海盗船复仇者RGB PRO 8GB DDR4 3200（CM4X8GD3200C16W2E-CN）,379,
海盗船复仇者LPX 32GB（2×16GB）DDR4 3600,1299,428
科赋BOLT X 雷霆 16GB DDR4 3200,599,
金士顿骇客神条FURY 16GB（2×8GB） DDR4 2666 RGB（HX426C16FB3AK2/16）,729,399
威刚XPG-Z1威龙 8GB DDR4 3600,379,115
金士顿骇客神条FURY 16GB DDR4 2666 RGB（HX426C16FB3A/16）,669,
金士顿HyperX Predator 16GB DDR4 3200 RGB灯条（套装）,799,379
金士顿HyperX Predator  16GB DDR4 3600（HX436C17PB3K2/16）,1699,
金士顿骇客神条FURY 4GB DDR3 1600（HX316C10F/4）,249,
海盗船复仇者LPX 16GB DDR4 3000（CMK16GX4M1B3000C15）,484,
海盗船复仇者 32GB DDR4 3000（CMSX32GX4M2A3000C16）,2699,
七彩虹MEOW 橘影橙 DDR5 6000 32GB（2×16GB）,869,689
金士顿FURY 叛逆者Renegade 48GB（2×24GB） DDR5 8400 RGB 白色,2799,2799
海盗船统治者铂金 16GB DDR4 3200（CMD16GX4M4B3200C16）,939,
Gloway（光威）龙武系列 DDR5 6400 32GB（16GB×2）镁光颗粒,599,579
Colorful（七彩虹）MEOW 橘影橙 DDR4 3200 32GB(16G×2),459,399
Acer宏碁 Hera 影锋 DDR5 6400 64GB(32GB×2),1649,1699
阿斯加特吹雪 DDR5 6800 32GB（2×16GB）,1469,889
宇瞻暗黑马甲 DDR5 6000 32GB（2×16GB）,799,699
来酷16GB DDR4 2666台式机内存,189,138
威刚XPG 威龙 D300 DDR5 6000 C30 32GB(16GBx2) 釉白,829,799
芝奇焰刃 DDR5 6400 32GB（2×16GB） C32 黯夜黑,795,798
金百达刃 RGB DDR5 6800 32GB(16GBx2) 黑刃,829,
威刚XPG 威龙 D300 DDR5 5600 32GB(16GBx2) 酷黑,739,639
威刚XPG 威龙 D300 DDR5 5600 32GB(16GBx2) 釉白,739,639
影驰星曜 DDR5 6000 32GB(16GBx2),759,629
联想16GB DDR5 5600笔记本内存条,318,279
金士顿64GB(32G×2) DDR5 5200笔记本内存条,1499,
联想16GB DDR5 5600,309,279
金士顿FURY Beast 16GB DDR4 3200特别版,499,239
金士顿FURY Beast 32GB（16GB×2）DDR4 3600特别版,1139,599
阿斯加特金伦加 TUF联名款 16GB（2×8GB） DDR4 3600,249,199
阿斯加特洛基LOKI 2×8GB DDR4 3600（B-die C14）,799,
Kingston（金士顿）FURY Beast DDR5 6000 RGB 16GB（2×8GB）,1349,
金士顿HyperX Predator 16GB（2×8GB）DDR4 4266（HX442C19PB3K2/16）,1659,869
英睿达8GB DDR5 4800（CT8G48C40U5）,599,
英睿达Ballistix铂胜游戏 16GB（2×8GB）DDR4 3200（BL2K8G32C16U4B）,539,218
雷克沙4GB DDR4 2666（台式机）,109,
芝奇皇家戟尊爵版 32GB（2×16GB）DDR4 4000（F4-4000C14D-32GTEG）,4888,
金士顿FURY Renegade 16GB（2×8GB）DDR4 5133（KF451C20RBK2/16）,6999,
金士顿8GB DDR4 2666（KCP426SS6/8）,329,
芝奇皇家戟 128GB（4×32GB）DDR4 3600,6299,
海盗船复仇者 16GB DDR4 3200（笔记本）,729,229
英睿达Ballistix铂胜游戏 16GB（2×8GB）DDR4 3200（BL2K8G32C16U4W）,479,
芝奇皇家戟 16GB DDR4 4266（F4-4266C19D-16GTRG）,1789,
海力士8GB DDR4 2666（笔记本）,279,
金士顿骇客神条 Predator 16GB DDR4 3000,749,
三星16GB DDR4 2666（笔记本）,659,
海盗船复仇者RGB Pro 16GB DDR4 3600（CMR16GX4M2C3600C18）,879,399
芝奇Trident Z RGB 16GB DDR4 3000（F4-3000C16D-16GTZR）,2218,
芝奇8GB DDR3 1600（F3-1600C11S-8GNT）,249,
三星8GB DDR3L 1600（笔记本）,379,
海盗船复仇者LPX 8GB DDR4 3000（CMK8GX4M2B3000C15）,314,
金士顿骇客神条FURY 4GB DDR4 2133,799,
金士顿骇客神条FURY 4GB DDR3 1866（HX318C10F/4）,299,
金士顿骇客神条 4GB DDR4 2133（HX421C14FB/4）,499,
金士顿骇客神条Impact 8GB DDR4 2400（HX424S14IBK2/8）,869,
金士顿8GB DDR3 1600（KVR16LN11/8）,499,
金士顿FURY 叛逆者Renegade 48GB（2×24GB） DDR5 8400 白色,2799,
金士顿骇客神条 8GB DDR3 2400（KHX24C11T1K2/8X）,590,
金士顿FURY 叛逆者Renegade 48GB（2×24GB） DDR5 8400 RGB 黑色,2799,
美商海盗船统治者铂金 RGB DDR5 6000 64GB（2×32GB）C30,1199,1949
阿斯加特吹雪 DDR5 6000 32GB（2×16GB）,799,739
芝奇皇家戟 DDR5 8400 48GB（2×24GB）银色,3699,3489
金百达刃 RGB DDR5 6400 64GB(32GBx2) 黑刃,1499,
威刚XPG 威龙 D300 DDR5 6000 C36 16GB 釉白,405,
阿斯加特瓦尔基里女武神二代 DDR5 7200 C34 32GB（2×16GB）,999,939
威刚XPG 威龙 D300 DDR5 6000 C30 16GB 酷黑,415,399
光威天策系列 DDR5 5600  32GB(16GB×2),559,479
威刚XPG 龙耀 D500G DDR5 8000 64GB(32GBx2),2499,848
阿斯加特吹雪 32GB(16Gx2) DDR4 3600,529,459
金士顿32GB(16G×2)  DDR5 5600台式机内存条,859,739
金士顿16GB DDR5 4800笔记本内存条,429,
十铨科技EXPERT 96G(48G*2) DDR5 6800,3949,
玖合星舞 16GB（2×8GB）DDR4 3600,299,182
金士顿32GB(16G×2) DDR5 5200台式机内存条,819,729
英睿达96GB（48GB×2） DDR5 5600 笔记本内存条,1799,1599
金士顿FURY Beast 64GB（2×32GB）DDR5 5600 白色款,1459,1499
金士顿FURY Beast 16GB（8GB×2） DDR4 3200特别版,599,359
金士顿FURY Beast 8GB DDR4 3200特别版,299,199
威刚威龙LANCER 32GB(16GX2) DDR5 6000,1644,839
海盗船复仇者RGB PRO SL 16GB（2×8GB）DDR4 3600（CMH16GX4M2D3600C18）,669,
海盗船复仇者RGB PRO SL 32GB（2×16GB）DDR4 3600（CMH32GX4M2D3600C18）,1249,
光威战将 16GB DDR4 3200（笔记本）,359,168
索奈特16GB DDR3 AMD专用 1600（台式机）,198,88
金士顿32GB DDR4 2666（KVR26N19D8/32）,1179,
索奈特4GB DDR3 1600（台式机）,75,29
威刚万紫千红 8GB DDR5 4800,1199,
英睿达Ballistix铂胜 RGB 16GB（2×8GB）DDR4 3600（BL2K8G36C16U4BL）,659,
威刚XPG 龙耀D50 ROG STRIX 吹雪 32GB（2×16GB）DDR4 3600,1999,539
金士顿FURY Impact 32GB（2×16GB）DDR4 3200（HX432S20IBK2/32）,1429,419
金士顿16GB DDR4 3200（KCP432NS8/16）,659,
金士顿16GB DDR4 2666（KCP426SD8/16）,449,
联想8GB DDR4 3200（笔记本）,269,99
英睿达32GB DDR4 3200（CT32G4DFD832A）,1299,389
威刚XPG-Z1威龙 32GB（2×16GB）DDR4 3200,1229,369
威刚XPG 龙耀D50 16GB（2×8GB）DDR4 3600,899,439
金百达黑爵 16GB DDR4 2666,399,145
金士顿HyperX Predator 32GB DDR4 3200 RGB灯条（套装）,1419,599
酷兽夜枭 8GB DDR4 2666,219,70
记忆科技8GB DDR4 2666,279,
七彩虹CVN 16GB DDR4 3200 RGB,599,
芝奇皇家戟 RGB 16GB DDR4 3600（F4-3600C16D-16GTRG）,1699,
瑾宇1GB DDR2 533,18,
联想8GB DDR3L 1600（笔记本）,279,69
海盗船复仇者RGB PRO 32GB DDR4 3000,1219,
联想8GB DDR4 2400,239,95
海盗船复仇者LPX 8GB DDR4 3000（CM4X8GD3000C16K）,245,
海盗船Vengeance RGB 32GB DDR4 2666（CMSX32GX4M2A2666C18）,2598,
威刚万紫千红 4GB DDR4 2133,259,
海盗船复仇者LPX 8GB DDR4 2400（CM4X8GE2400C16K4）,849,
海盗船统治者铂金 64GB DDR4 3200（CMD64GX4M4C3200C16）,6598,
芝奇幻光戟 32GB（2×16GB）DDR4 3200（F4-3200C15D-32GTZR）,2399,
金士顿骇客神条FURY 8GB DDR4 2400（HX424C15FBK2/8）,399,
金士顿低电压版 4GB DDR4 2400（KVR24S17S8/4）,599,
海盗船复仇者 16GB DDR4 2133（CMSO16GX4M1A2133C15）,1599,
海盗船复仇者LPX 16GB DDR4 3600（CMK16GX4M2B3600C18）,719,
海盗船4GB DDR4 2133（CMSO4GX4M1A2133C15）,349,
金士顿骇客神条FURY 4GB DDR4 2400（HX424C15FB/4）,199,
海盗船Vengeance  16GB DDR4 2666（CMU16GX4M2A2666C16R）,999,
芝奇Ripjaws4 8GB DDR4 2400（F4-2400C15S-8GRK）,269,
海盗船复仇者Pro 16GB DDR3 2400 （CMY16GX3M2A2400C11R）,689,
金士顿骇客神条Impact 8GB DDR3 1600,409,
海盗船8GB DDR3 1600（CMZ8GX3M1A1600C10）,599,
海盗船32GB DDR3 2133（CMD32GX3M4A2133C9）,3799,
金士顿骇客神条FURY 16GB DDR3 1600（HX316C10FWK2/16）,859,
阿斯加特博拉琪Ⅱ代 DDR5 7200 32GB（2×16GB）,999,999
海盗船8GB DDR3 1600（CMX8GX3M2A1600C9）,499,
七彩虹天蝎座 DDR4 3200 16GB（2×8GB）,189,169
宏碁 Hermes冰刃系列 DDR5 6400 C32 48GB（24GB×2）海力士M-die,1439,1299
七彩虹白羊座 DDR5 6000 32GB（2×16GB）,789,599
芝奇皇家戟 DDR5 7200 48GB（2×24GB）银色,2089,1869
阿斯加特A系列 16GB DDR5 4800,269,209
芝奇皇家戟 DDR5 7200 32GB（2×16GB）银色,1339,1259
阿斯加特瓦尔基里女武神二代 DDR5 7600 C36 32GB（2×16GB）,1299,1149
金百达星刃 DDR5 7200 32GB(16GBx2),849,799
金百达刃 RGB DDR5 7200 32GB(16GBx2) 白刃,899,
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 7800 科技银,1789,1687
威刚XPG 龙耀 D500G 吹雪 DDR5 7200 64GB(32GBx2),2499,
威刚XPG 龙耀 D500G RO姬 DDR5 6000 32GB(16GBx2),979,919
威刚XPG 龙耀 D500G DDR5 7200 64GB(32GBx2),2579,
玖合星辰  64GB(32GBx2) DDR4 3200,678,
联想32GB DDR5 5600笔记本内存条,639,
Acer宏碁 Hermes冰刃系列 32G(16G×2) DDR5 6800 C32,1299,899
英睿达16GB DDR5 5200 笔记本内存条,299,
英睿达16GB DDR5 4800 笔记本内存条,279,279
沃存32GB（2×16GB）DDR4 3200,289,
阿斯加特金伦加 TUF联名款 16GB DDR4 3200,349,
金百达银爵 64GB（2×32GB）DDR5 6000,2199,1259
阿斯加特女武神·瓦尔基里 2×16GB DDR4 3200（B-die C14）,749,
USCorsair（美商海盗船）复仇者LPX DDR4 3600 2×16GB,439,435
芝奇幻锋戟 32GB（2×16GB）DDR5 5600,899,4326
金士顿FURY Renegade 16GB（2×8GB）DDR4 5000（KF450C19RBK2/16）,5999,1699
芝奇幻光戟 64GB（2×32GB）DDR4 3600（F4-3600C18D-64GTZR）,2699,1999
金士顿HyperX Predator 128GB（4×32GB）DDR4 3200（HX432C16PB3K4/128）,5749,
威刚万紫千红 16GB（2×8GB）DDR4 3200,599,199
联想16GB DDR4 2933（台式机）,539,
七彩虹战斧 32GB DDR4 3200 新马甲条,1199,145
金士顿FURY Impact 16GB（2×8GB）DDR4 3200（HX432S20IB2K2/16）,629,219
联想16GB DDR4 3200（台式机）,399,165
海盗船复仇者LPX 8GB DDR4 4000（CM4X8GD4000Z18K2-CN）,390,
芝奇皇家戟 128GB（4×32GB）DDR4 3600（F4-3600C18Q-128GTRG）,6666,
芝奇Aegis 8GB DDR4 3200（F4-3200C16S-8GIS）,279,
英睿达32GB DDR4 3200（CT32G4SFD832A）,1169,429
海盗船16GB DDR4 2666（台式机）,449,
芝奇Sniper X 16GB DDR4 3200,449,669
海盗船复仇者RGB PRO 32GB（2×16GB）DDR4 3600,1499,
金士顿FURY Impact 32GB DDR4 2666（HX426S16IB/32）,1199,
金士顿骇客神条FURY 64GB DDR4 3200（HX432C16FB3K4/64）,2639,
金士顿骇客神条FURY 16GB（2×8GB）DDR4 3733,769,
威刚万紫千红 16GB DDR4 3200（笔记本）,609,199
宇瞻黑豹 8GB DDR4 3200,229,
金士顿HyperX Predator 16GB DDR4 3200 RGB灯条,600,299
金士顿骇客神条 Predator DDR4 16G  2933,1199,
芝奇8GB DDR4 2666（F4-2400C17S-8GNT）,449,
金士顿系统指定内存 4GB DDR4 2133（KCP421SS8/4）,619,
金士顿骇客神条FURY 16GB DDR4 2400（HX424C15FB2K2/16）,580,
金士顿系统指定内存 4GB DDR3L 1600（KCP3L16SS8/4）,309,
海盗船复仇者LED 32GB DDR4 3200（CMU32GX4M2C3200C16）,2299,
芝奇Trident Z RGB 32GB DDR4 3000（F4-3000C14D-32GTZR）,2599,
海盗船统治者铂金 16GB DDR4 3200 （CMD16GX4M2B3200C16）,1519,
海盗船复仇者LED 8GB DDR4 3000（CM4X8GC3000C15U4）,559,
芝奇Ripjaws4 8GB DDR4 2800（F4-2800C16S-8GRK）,349,
海盗船统治者铂金 16GB DDR4 3600（CMD16GX4M2B3600C18）,2099,
海盗船复仇者 16GB DDR4 3000（CMSX16GX4M2A3000C16）,659,
海盗船统治者铂金 32GB DDR3 2400 （CMD32GX3M4A2400C11）,1999,
海盗船复仇者LED 64GB DDR4 3200 （CMU64GX4M4C3200C16R）,5299,
海盗船复仇者LPX 16GB DDR4 3000（CMK16GX4M2B3000C15）,4509,
金士顿骇客神条FURY 16GB DDR4 2400（HX424C15FBK2/16）,649,
海盗船8GB DDR4 2133（CMSO8GX4M1A2133C15）,769,
金士顿HyperX Savage 8GB DDR4 2800（HX428C14SB/8）,449,
金士顿HyperX 32GB DDR4 2666（HX426C15FBK4/32),3599,
金士顿骇客神条Beast 16GB DDR3 2400（KHX24C11T3K2/16X）,999,
金士顿骇客神条Impact 8GB DDR3 1600（HX316LS9IB/8）,449,
金士顿2GB DDR3 1600（KVR16N11S6/2）,128,
金士顿HyperX 8GB DDR3 2666（KHX26C11T2K2/8X）,980,
宇瞻黑豹玩家 4GB DDR3 1600,189,
芝奇RipjawsX 16GB DDR3 1600（F3-12800CL10D-16GBXL）,1299,
阿斯加特博拉琪Ⅱ代 DDR5 6800 32GB（2×16GB）,899,909
雷克沙雷神之锤 DDR5 6000 32GB(16GBx2) CL30 白色,659,649
七彩虹白羊座 DDR4 3600 16GB（2×8GB）,249,199
威刚XPG 龙耀 D300G DDR5 6400MHz 24GBx2/酷黑/TUF联名,1259,1259
阿斯加特瓦尔基里女武神二代 DDR5 6800 C34 32GB（2×16GB）,853,839
阿斯加特雷神索尔 DDR5 6000 32GB（2×16GB）,869,869
海力士4GB DDR4 3200台式机内存,85,65
金士顿FURY Beast野兽 RGB DDR5 4800 64GB（2×32GB）黑,1659,
金士顿FURY Beast野兽 RGB DDR5 5200 64GB（2×32GB）白,1675,1599
阿斯加特女武神 DDR5 6000 64GB（2×32GB） 海力士A-die,1469,1449
阿斯加特女武神 DDR5 6800 32GB（2×16GB） 海力士A-die,849,769
阿斯加特金伦加&TUF联名款 RGB DDR5 6400 32GB（2×16GB）,809,809
芝奇焰锋戟 DDR5 6000 32GB（2×16GB） C36,999,998
阿斯加特女武神 DDR5 6000 32GB（2×16GB） 海力士A-die,839,
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 7600 科技银,1799,1498
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 6800 黯雾黑,949,1049
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 7200 科技银,1088,1099
芝奇幻锋戟 DDR5 32GB（2×16GB）DDR5 7600 黯雾黑,3999,1487
金百达刃 RGB DDR5 6400 16GB 黑刃,389,
威刚XPG 威龙 D300 DDR5 5600 16GB 酷黑,369,319
威刚XPG 威龙 D300 DDR5 6400 64GB(32GBx2) 釉白,1819,1599
威刚XPG 龙耀 D500G DDR5 6000 64GB(32GBx2),1899,
Acer宏碁 Vesta II 炫光星舰 DDR5 6600 C34 32GB(16GB×2),879,849
金士顿32GB(16G×2) DDR5 4800笔记本内存条,799,
Acer宏碁 Hermes冰刃系列 32G(16G×2) DDR5 7200 C34,1499,949
玖合星耀 16GB(8GBx2) DDR4 3200,198,179
酷兽24GB DDR5 5600 笔记本内存条,399,319
沃存16GB DDR4 3600,149,
英睿达32GB（16GB×2） DDR5 5600 台式机内存条,599,579
金士顿FURY Beast 64GB（2×32GB）DDR5 6000 白色款,1499,
英睿达8GB DDR5 4800 笔记本内存条,149,
阿斯加特弗雷 Freyr 16GB DDR5 5200,399,
沃存16GB DDR4 3200,139,
联想4GB DDR3 1333（笔记本）,159,
金士顿FURY Beast 16GB（8GB×2）DDR4 3600特别版,649,379
金百达8GB DDR5 4800,399,
金士顿16GB DDR5 4800（KVR48U40BS8-16）,1799,
金士顿FURY Renegade  16GB DDR5 6000（KF560C32RSA-16）,1199,
阿斯加特16GB DDR5 4800（台式机）,1299,
芝奇幻锋戟 32GB（2×16GB）DDR5 5600 C36,899,
英睿达16GB DDR5 4800（CT16G48C40U5）,1199,279
阿斯加特阿萨战士 32GB（2×16GB）DDR5 4800,2199,
芝奇皇家戟吹雪联名款 32GB（2×16GB）DDR4 4000（F4-4000C18D-32GTRSS）,3199,
海盗船复仇者 8GB DDR4 3200（笔记本）,239,149
威刚万紫千红 32GB DDR4 3200,1199,359
影驰HOF EXTREME D4-4000 16GB（2×8GB）限量版,999,
海盗船复仇者RGB Pro 128GB（8×16GB）DDR4 3600,6099,
金士顿4GB DDR4 2666（KCP426NS6/4）,199,
金士顿8GB DDR4 2666（KCP426NS6/8）,239,
七彩虹iGame Vulcan 16GB（2×8GB） DDR4 4266,1399,219
金士顿骇客神条FURY 128GB（4×32GB）DDR4 3200,5099,1899
金士顿骇客神条Predator 8GB DDR4 4000 RGB灯条,649,
金士顿8GB DDR4 3200（KCP432NS6/8）,359,
芝奇皇家戟 64GB（4×16GB）DDR4 3600,3599,
芝奇Ripjaws 32GB DDR4 3200,1099,398
金士顿HyperX Predator 16GB（2×8GB）DDR4 4800（HX448C19PB3K2/16）,3699,
海盗船8GB DDR4 2666（台式机）,209,
金士顿骇客神条FURY 32GB DDR4 2666（HX426C16FB3/32）,1199,
金百达16GB DDR4 3200（笔记本）,409,169
威刚XPG-Z1威龙 32GB（2×16GB）DDR4 3600,1359,389
联想Master大师系列 8GB DDR4 3200,279,
联想8GB DDR4 2666,239,89
记忆科技4GB DDR3L 1600,149,
海力士8GB DDR3 1066,459,
海力士2GB DDR3L 1600,99,
英睿达8GB DDR4 3200（CT8G4SFS832A）,319,109
海力士16GB DDR4 2666（笔记本）,625,189
瑾宇PC4-2666V 4GB,139,
联想8GB DDR4 2666（笔记本）,299,89
酷兽4GB DDR4 2133（台式机）,98,
联想16GB DDR4 2666（笔记本）,499,129
金士顿FURY Impact 16GB（2×8GB）DDR4 2666（HX426S15IB2K2/16）,529,
三星16GB DDR4 2400,549,209
海盗船统治者铂金 RGB 32GB DDR4 3600（CMT32GX4M4K3600C16）,2599,
海盗船复仇者RGB Pro 32GB DDR4 3200（CMR16GX4M4C3200C16）,1229,269
三星8GB DDR4 2133（笔记本）,259,
芝奇AEGIS 8GB DDR4 2666（F4-2666C19S-8GIS）,299,
金士顿系统指定内存 8GB DDR3L 1600（KCP3L16SD8/8）,719,
金士顿系统指定内存 8GB DDR4 2133（KCP421SS8/8）,1019,
芝奇Flare X 16GB DDR4 3200（F4-3200C14D-16GFX）,2299,
海盗船复仇者LED 16GB DDR4 3200（CMU16GX4M2C3200C16）,1199,
金士顿低电压版 16GB DDR4 2400（KVR24S17D8/16）,1499,
威刚XPG Z1 16GB（2×8GB）DDR4 3200,639,219
芝奇Ripjaws V 16GB DDR4 3000（F4-3000C15S-16GVR）,1599,
芝奇Trident Z 32GB DDR4 3200（F4-3200C14D-32GTZ）,2599,
金士顿骇客神条FURY 16GB DDR4 2133（HX421C14FBK2/16）,1499,
芝奇Trident Z 64GB DDR4 3200（F4-3200C14Q-64GTZSW）,6399,
金士顿骇客神条Beast 16GB DDR3 2133,799,
金士顿4GB DDR3 1600（KVR16LN11/4）,289,
海盗船复仇者Pro 8GB DDR3 2666 （CM3X8GA2400C11Y2R）,899,
威刚XPG威龙 8GB DDR4 2400,599,
芝奇Ripjaws V 16GB DDR4 3200（F4-3200C16D-16GVKB）,1799,
金士顿HX430C15PBK4/32（HX430C15PBK4/32）,2399,
金士顿骇客神条FURY 8GB DDR3 1866,669,
芝奇Ripjaws 8GB DDR4 2400（F4-2400C15S-8GRK）,699,
金士顿HyperX Savage 8GB DDR3 1600（HX316C9SRK2/8）,659,
金士顿HyperX Savage 16GB DDR3 2400,1899,
金士顿HyperX Savage 8GB DDR3 1600（HX316C9SR/8）,629,
金士顿骇客神条Impact 8GB DDR3 1866（HX318LS10IBK2/8）,659,
金士顿骇客神条 时空裂痕游戏版 8GB DDR3 1600,559,
金士顿骇客神条Impact 4GB DDR3 1600（HX316LS9IB/4）,239,
三星8GB DDR3 1600,248,
金士顿2GB DDR3 1600（KVR16S11/2）,99,
金士顿骇客神条 16GB DDR3 1600（KHX16C10B1BK2/16X）,1039,
金士顿骇客神条 4GB DDR3 1866（KHX1866C9D3/4G）,259,
金士顿骇客神条lovo 8GB DDR3 1600（KHX1600C9D3LK2/8GX）,359,
金士顿骇客神条 8GB DDR3 1333（KHX1333C9D3B1K2/8G）,299,
雷克沙Ares战神之翼 DDR5 6000 32GB(16GB×2) C28 银色,799,889
雷克沙雷神之锤 DDR5 6000 32GB(16GBx2) CL38 黑色,639,629
海盗船8GB DDR3 1600（CMZ8GX3M2A1600C9）,499,
金泰克速虎 白月光 DDR5 6000 16GB,369,
佰维DW100 时空行者 DDR5 8200 32GB（2×16GB）,949,959
阿斯加特雷神索尔 DDR5 6800 32GB（2×16GB）,1999,869
宏碁 Hermes冰刃系列 DDR5 6400 C32 32GB（16GB×2）海力士M-die,829,799
宏碁掠夺者Hermes冰刃DDR5 8000 CL40 48GB（2×24GB）海力士M-die,2599,
Acer宏碁 Hera 影锋 DDR5 7200 C34 32GB(16GB×2),1149,999
雷克沙Ares战神之翼 DDR5 8000 32GB(16GBx2) 黑色,1499,889
芝奇皇家戟 DDR5 7600 32GB（2×16GB）银色,1689,1589
阿斯加特A系列 32GB DDR5 4800,549,529
金邦摩羯 ROG联名 DDR5 6400 32GB（2×16GB）,1299,
阿斯加特女武神 DDR5 6800 48GB（2×24GB） 海力士M-die,1299,999
威刚XPG 威龙 D300 DDR5 6000 C30 32GB 釉白,799,759
金百达刃 RGB DDR5 6800 32GB(16GBx2) 白刃,829,
威刚XPG 威龙 D300 DDR5 6400 32GB(16GBx2) 釉白,829,819
联想16GB DDR5 4800笔记本内存条,319,229
光威天策系列 DDR5 5200 16GB,259,259
金士顿FURY 叛逆者Renegade DDR5 6800 32GB(16GBx2) 白色款,1439,1299
威刚XPG龙耀D500G 32GB(16GB*2) DDR5 6800 白色,899,959
联想16GB DDR5 4800,269,249
金士顿叛逆者Renegade 32GB(16G*2) DDR5 6000,999,
金士顿FURY Beast 32GB（2×16GB）DDR5 5600 RGB白色款,959,899
英睿达24GB DDR5 5600 笔记本内存条,449,379
先锋冰锋系列 4GB DDR4 2666,39,
玖合忆界海力士 16GB（2×8GB）DDR5 6000,309,
玖合忆界海力士 32GB（2×16GB）DDR5 6000,639,459
金士顿FURY Beast 32GB（2×16GB）DDR5 5200 英雄联盟限定联名款,779,
玖合忆界 16GB DDR5 4800,268,
七彩虹CVN 银翼 32GB（2×16GB）DDR5 6600 RGB,799,819
七彩虹战斧 8GB DDR4 3600,135,
联想8GB DDR4 2666 银刃,179,
金百达刃 RGB灯条 64GB（2×32GB）DDR5 6400,1598,1479
美商海盗船复仇者RGB 8GB DDR4 3600吹雪联名款,9799,
联想8GB DDR4 3200 钛刃,189,
威刚龙耀LANCER RGB 2×16GB DDR5 6000,1998,829
金士顿FURY Renegade 32GB（2×16GB）DDR5 6400（KF564C32RSAK2-32）,2899,1149
阿斯加特弗雷 Freyr 32GB（2×16GB）DDR4 3600,1299,
金士顿FURY Renegade 32GB（2×16GB）DDR5 6000（KF560C32RSAK2-32）,2399,959
阿斯加特弗雷 Freyr 16GB DDR4 3200,389,259
阿斯加特弗雷 Freyr 8G DDR4 3200,188,
芝奇幻光戟 32GB（2×16GB）DDR4 3200（F4-3200C16D-32GTZR）,1199,
芝奇炫锋戟 32GB（2×16GB）DDR5 6000 C36,899,
七彩虹16GB DDR4 2666（台式机）,319,
芝奇皇家戟 16GB（2×8GB）DDR4 4800（F4-4800C19D-16GTRSC）,2199,
朗科超光 8GB DDR4 3200 笔记本内存条,229,85
朗科超光 8GB DDR4 2666 笔记本内存条,219,
朗科越影 8GB DDR4 3600,279,105
威刚XPG威龙D20 8GB DDR4 3200,315,
影驰金属大师 8GB DDR4 2666,269,128
芝奇皇家戟尊爵版 32GB（2×16GB）DDR4 4000（F4-4000C14D-32GTES）,4888,
阿斯加特笔记本内存条 8GB DDR4 2666,269,
联想8GB DDR4 2933（台式机）,229,
芝奇皇家戟吹雪联名款 16GB（2×8GB）DDR4 3600,1499,
联想32GB DDR4 3200（台式机）,799,359
金士顿32GB DDR4 2666（KCP426SD8/32）,1199,
金士顿16GB DDR4 3200（KCP432SD8/16）,659,
金士顿8GB DDR4 3200（KCP432SS6/8）,359,
金百达32GB DDR4 3200（笔记本）,839,
芝奇皇家戟 16GB（2×8GB）DDR4 3600（F4-3600C18D-16GTRG）,940,
金士顿HyperX Predator 16GB（2×8GB）DDR4 4600（HX446C19PB3K2/16）,3099,
芝奇皇家戟 64GB（4×16GB）DDR4 3200,2699,
威刚XPG 龙耀D50 32GB（2×16GB）DDR4 3600,1599,
芝奇皇家戟 32GB（4×8GB）DDR4 3200（F4-3200C14Q-32GTRG）,3599,
海盗船复仇者RGB PRO 8GB DDR4 3600（CM4X8GD3600C18W2D-CN）,330,
海盗船复仇者RGB PRO 128GB（4×32GB）DDR4 3600,5799,
联想4GB DDR4 2666（游戏内存条）,169,
金邦8GB DDR4 2666,379,
记忆科技8GB DDR4 2400,259,
芝奇幻光戟 16GB DDR4 3000（F4-3000C16S-16GTZR）,699,
金邦16GB DDR4 3200（套装）极光TUF,929,
联想16GB DDR4 2666,489,159
芝奇皇家戟 RGB 16GB DDR4 3200（F4-3200C16D-16GTRG）,1099,
海盗船复仇者RGB PRO 8GB DDR4 3000,359,
金士顿HyperX Predator 8GB DDR4 3200 RGB灯条,399,
海盗船复仇者RGB Pro 32GB DDR4 3600,2999,
三星4GB DDR4 2400,239,
威刚XPG 16GB DDR4 2666,599,
三星16GB DDR4 2400（笔记本）,659,
三星4GB DDR4 2400（笔记本）,179,
金士顿HyperX Predator  32GB DDR4 2933 RGB灯条（套装）,3499,
海盗船复仇者LPX 8GB DDR4 2400（CMK8GX4M1A2400C16R）,789,
海盗船复仇者RGB 16GB DDR4 3200（CMR16GX4M2C3200C16）,1499,
金士顿骇客神条Impact 16GB DDR4 2400（HX424S14IB/16）,999,
海盗船复仇者LED 16GB DDR4 3000（CMU16GX4M2C3000C15）,1499,
光威4GB DDR4 2400,199,
海盗船复仇者LPX 32GB DDR4 3600（CMK32GX4M4B3600C18）,3999,
光威16GB DDR4 2400,1299,
芝奇幻光戟 16GB（2×8GB）DDR4 2400（F4-2400C15D-16GTZR）,1499,
金士顿2GB DDR3 1333（KVR13S9S6/2G）,129,
